图片,名称,价格,磨损度,date,price,ID,quantity_on_sale
,印花 | Vitality（全息）| 2023年巴黎锦标赛,4.43,,2024/4/7 15:00,6.14,928038,2830
,印花 | Vitality（全息）| 2023年巴黎锦标赛,4.43,,2024/4/16 15:00,5.1,928038,2820
,印花 | Vitality（全息）| 2023年巴黎锦标赛,4.43,,2024/4/17 3:00,5.08,928038,2820
,印花 | Vitality（全息）| 2023年巴黎锦标赛,4.43,,2024/4/17 15:00,4.99,928038,2820
,印花 | Vitality（全息）| 2023年巴黎锦标赛,4.43,,2024/4/18 3:00,4.93,928038,2820
,印花 | Vitality（全息）| 2023年巴黎锦标赛,4.43,,2024/4/18 15:00,4.96,928038,2820
,印花 | Vitality（全息）| 2023年巴黎锦标赛,4.43,,2024/4/19 3:00,4.97,928038,2820
,印花 | Vitality（全息）| 2023年巴黎锦标赛,4.43,,2024/4/19 15:00,4.82,928038,2820
,印花 | Vitality（全息）| 2023年巴黎锦标赛,4.43,,2024/4/20 3:00,4.79,928038,2820
,印花 | Vitality（全息）| 2023年巴黎锦标赛,4.43,,2024/4/20 15:00,4.79,928038,2820
,印花 | Vitality（全息）| 2023年巴黎锦标赛,4.43,,2024/4/21 3:00,4.9,928038,2820
,印花 | Vitality（全息）| 2023年巴黎锦标赛,4.43,,2024/4/21 15:00,4.92,928038,2820
,印花 | Vitality（全息）| 2023年巴黎锦标赛,4.43,,2024/4/22 3:00,5.02,928038,2820
,印花 | Vitality（全息）| 2023年巴黎锦标赛,4.43,,2024/4/22 15:00,5.09,928038,2820
,印花 | Vitality（全息）| 2023年巴黎锦标赛,4.43,,2024/4/23 3:00,5,928038,2820
,印花 | Vitality（全息）| 2023年巴黎锦标赛,4.43,,2024/4/23 15:00,5.08,928038,2780
,印花 | Vitality（全息）| 2023年巴黎锦标赛,4.43,,2024/4/24 3:00,5.01,928038,2820
,印花 | Vitality（全息）| 2023年巴黎锦标赛,4.43,,2024/4/24 15:00,5.18,928038,2820
,印花 | Vitality（全息）| 2023年巴黎锦标赛,4.43,,2024/4/25 3:00,5.85,928038,2820
,印花 | Vitality（全息）| 2023年巴黎锦标赛,4.43,,2024/4/25 15:00,5.46,928038,2820
,印花 | Vitality（全息）| 2023年巴黎锦标赛,4.43,,2024/4/26 3:00,5.38,928038,2820
,印花 | Vitality（全息）| 2023年巴黎锦标赛,4.43,,2024/4/26 15:00,5.22,928038,2820
,印花 | Vitality（全息）| 2023年巴黎锦标赛,4.43,,2024/4/27 3:00,5.14,928038,3200
,印花 | Vitality（全息）| 2023年巴黎锦标赛,4.43,,2024/4/27 15:00,5,928038,3200
,印花 | Vitality（全息）| 2023年巴黎锦标赛,4.43,,2024/4/28 3:00,5.04,928038,3400
,印花 | Vitality（全息）| 2023年巴黎锦标赛,4.43,,2024/4/28 15:00,5.08,928038,2820
,印花 | Vitality（全息）| 2023年巴黎锦标赛,4.43,,2024/4/29 3:00,4.99,928038,2690
,印花 | Vitality（全息）| 2023年巴黎锦标赛,4.43,,2024/4/29 15:00,4.99,928038,2820
,印花 | Vitality（全息）| 2023年巴黎锦标赛,4.43,,2024/4/30 3:00,5,928038,2820
,印花 | Vitality（全息）| 2023年巴黎锦标赛,4.43,,2024/4/30 15:00,4.98,928038,2970
,印花 | Vitality（全息）| 2023年巴黎锦标赛,4.43,,2024/5/1 3:00,5.14,928038,2820
,印花 | Vitality（全息）| 2023年巴黎锦标赛,4.43,,2024/5/1 15:00,4.99,928038,2820
,印花 | Vitality（全息）| 2023年巴黎锦标赛,4.43,,2024/5/2 3:00,4.94,928038,2820
,印花 | Vitality（全息）| 2023年巴黎锦标赛,4.43,,2024/5/2 15:00,4.8,928038,2820
,印花 | Vitality（全息）| 2023年巴黎锦标赛,4.43,,2024/5/3 3:00,4.78,928038,3000
,印花 | Vitality（全息）| 2023年巴黎锦标赛,4.43,,2024/5/3 15:00,4.74,928038,3100
,印花 | Vitality（全息）| 2023年巴黎锦标赛,4.43,,2024/5/4 3:00,4.89,928038,2820
,印花 | Vitality（全息）| 2023年巴黎锦标赛,4.43,,2024/5/4 15:00,4.78,928038,2820
,印花 | Vitality（全息）| 2023年巴黎锦标赛,4.43,,2024/5/5 3:00,4.74,928038,3400
,印花 | Vitality（全息）| 2023年巴黎锦标赛,4.43,,2024/5/5 15:00,4.59,928038,3400
,印花 | Vitality（全息）| 2023年巴黎锦标赛,4.43,,2024/5/6 3:00,4.57,928038,3400
,印花 | Vitality（全息）| 2023年巴黎锦标赛,4.43,,2024/5/6 15:00,4.51,928038,3100
,印花 | Vitality（全息）| 2023年巴黎锦标赛,4.43,,2024/5/7 3:00,4.49,928038,2700
,印花 | Vitality（全息）| 2023年巴黎锦标赛,4.43,,2024/5/7 15:00,4.4,928038,2850
